Ni,Al,Co,Cr,Mo,Re,Ru,Ta,W,Ti,Nb,T,stress,creep_rupture_life
62.5,6,6,6,3,4.5,0,7,5,0,0,1100,137,164
62.5,6,6,6,3,4.5,0,7,5,0,0,1070,180,163.7
58.8,5.9,6.7,5.7,2.1,3.9,3.6,7.8,5.3,0,0,1100,140,163
61,6,6.9,3.5,2.4,4.1,2.7,8,5.5,0,0,950,400,154.4
58.8,5.9,6.7,5.7,2.1,3.9,3.6,7.8,5.3,0,0,950,400,154.1
54,6,12,5,1,5,3,8,6,0,0,1000,310,153.5
55.8,5.9,6.5,4.6,2.1,6.4,7,7.6,4,0,0,1150,137,152
61,5.6,9,4.3,2,2,0,7.5,8,0,0.6,1100,137,148
57,6,12,5,1,5,0,8,6,0,0,1000,310,147.2
54.2,6,12,4,1,5.4,3,8.4,6,0,0,1100,165,146.9
58.4,6,12,3,2,5,1.6,6,6,0,0,1100,137,144
54.2,6,12,4,1,5.4,3,8.4,6,0,0,1000,290,143.6
61.65,5.8,10,4.2,0.6,4,0,8,5,0.65,0,1050,190,143
58.3,6,12,3,2,5,1.6,6,6,0,0,1100,137,140
57.05,5.47,9.46,4.57,4,2.83,3.96,7.38,3.77,0.98,0.53,1100,137,139.1
61.65,5.8,10,4.2,0.6,4,0,8,5,0.65,0,1010,248,139
69.97,5.78,1.75,2,0.4,6.5,0,8.2,5.4,0,0,1150,100,136.6
57.2,6,12,4,1,5.4,0,8.4,6,0,0,1100,165,131
65.8,6,4,2,0.4,6.8,0,9,6,0,0,1130,140,130
57.2,6,12,4,1,5.4,0,8.4,6,0,0,1000,290,127.9
59.79,6,9,4,1.5,5,0,7,7,0,0,1120,140,126
59.8,6,6.9,6.5,1,4,2.6,7.9,5.4,0,0,1100,140,124.6
61.68,6,9,3.5,1.5,4,0,8,6,0.2,0,1100,150,124
59.8,6,6.9,6.5,1,4,2.6,7.9,5.4,0,0,950,400,122.7
54.2,6,12,4,1,5.4,3,8.4,6,0,0,1000,310,122.4
62.81,5.76,8.99,4.41,1.87,1.77,0,7.2,7.01,0,0.79,1100,130,122.1
61.7,6,8.9,6.9,1.4,2.9,0,6.7,5.5,0,0,1100,137,122
51.7,6,14.4,6.1,1,3.9,3.7,7.9,5.3,0,0,950,400,121.6
66.5,6,4,2,0.5,6.5,0,9,5.5,0,0,1080,190,119
65.8,6,4,2,0.4,6.8,0,9,6,0,0,1080,190,119
60.4,6,9,5,1,4.2,0,3.9,9,0,1.5,1000,280,118
56.5,6,7,7,3,4.5,3,8,5,0,0,1085,170,113.2
54.2,6,12,4,1,5.4,3,8.4,6,0,0,1140,137,113.1
62.8,5.6,7,3.5,2,4.5,0,7.5,6.5,0,0.5,1130,137,110
59.79,6,9,4,1.5,5,0,7,7,0,0,1150,100,107
57.79,6,9,4,1.5,5,2,7,7,0,0,1130,140,103
66.4,6,4,2,0.4,6.2,0,9,6,0,0,1080,190,101
60,6,8,4,1,6,3,7,5,0,0,1150,130,108
61.4,5.6,9,2,2,4,0,7.5,8,0,0.5,1038,248,98.5
