Material,C,Si,Mn,P,S,Ni,Cr,Mo,Cu,Ti,Al,B,N,Nb+Ta,Elongation,Reduction of Area,Stress,Temperature,creep_rupture_life
17,0.012,0.55,0.87,0.025,0.005,11.22,16.79,2.02,0.28,0.001,0.015,0.0002,0.0765,0.007,51,68,186,650,1223
18,0.012,0.56,0.81,0.024,0.004,10.67,16.39,2.11,0.27,0.0006,0.011,0.001,0.081,0.001,109,80,108,700,1239.2
10,0.07,0.73,1.62,0.029,0.019,11.92,16.97,2.45,0.14,0.009,0.022,0.0013,0.0159,0.04,69,51,41,800,1239.4
15,0.06,0.74,1.7,0.038,0.011,13.04,17.31,2.56,0.3,0.011,0.005,0.0011,0.0192,0.04,75,60,41,800,1268.2
7,0.06,0.52,1.6,0.025,0.007,13.3,16.7,2.25,0.24,0.06,0.02,0.0008,0.0318,0.01,67,83,157,650,1295.3
12,0.07,0.58,1.67,0.027,0.011,10.42,17.3,2.37,0.17,0.047,0.03,0.0007,0.029,0.03,41,40,88,700,1304.8
7,0.06,0.52,1.6,0.025,0.007,13.3,16.7,2.25,0.24,0.06,0.02,0.0008,0.0318,0.01,67,78,69,750,1317.6
17,0.012,0.55,0.87,0.025,0.005,11.22,16.79,2.02,0.28,0.001,0.015,0.0002,0.0765,0.007,77,71,108,700,1319
11,0.07,0.81,1.75,0.026,0.01,10.28,16.97,2.44,0.15,0.044,0.04,0.0016,0.0241,0.04,59,45,41,800,1322.9
1,0.05,0.52,1.51,0.021,0.01,13.21,16.42,2.34,0.14,0.011,0.018,0.0005,0.034,0.01,78,64,137,650,1335.9
15,0.06,0.74,1.7,0.038,0.011,13.04,17.31,2.56,0.3,0.011,0.005,0.0011,0.0192,0.04,74,74,26,850,1337.8
19,0.011,0.57,0.84,0.025,0.003,11.14,16.85,2.25,0.27,0.001,0.006,0.0002,0.0751,0.004,55,76,176,650,1356.1
13,0.08,0.67,1.44,0.026,0.009,12.3,17.11,2.31,0.35,0.013,0.006,0.001,0.0186,0.04,52,47,41,800,1358.1
13,0.08,0.67,1.44,0.026,0.009,12.3,17.11,2.31,0.35,0.013,0.006,0.001,0.0186,0.04,44,43,88,700,1359.3
5,0.066,0.63,1.73,0.029,0.024,13.16,17.07,2.34,0.13,0.055,0.095,0.002,0.028,0.01,56,54,157,650,1369.4
10,0.07,0.73,1.62,0.029,0.019,11.92,16.97,2.45,0.14,0.009,0.022,0.0013,0.0159,0.04,78,66,88,700,1370.5
14,0.07,0.61,1.41,0.026,0.007,12.18,16.97,2.25,0.34,0.018,0.006,0.0008,0.0218,0.03,40,41,137,650,1425
9,0.06,0.46,1.49,0.032,0.026,12.48,17.43,2.49,0.15,0.009,0.025,0.0008,0.0189,0.04,67,57,41,800,1440
16,0.05,0.74,1.74,0.035,0.006,11.19,17.6,2.32,0.28,0.014,0.005,0.0007,0.023,0.03,38,38,41,800,1460.1
11,0.07,0.81,1.75,0.026,0.01,10.28,16.97,2.44,0.15,0.044,0.04,0.0016,0.0241,0.04,48,45,88,700,1485.1
16,0.05,0.74,1.74,0.035,0.006,11.19,17.6,2.32,0.28,0.014,0.005,0.0007,0.023,0.03,34,37,88,700,1500.4
4,0.078,0.62,1.6,0.021,0.008,13.51,16.9,2.08,0.16,0.037,0.031,0.001,0.028,0.01,20,27,108,700,1507.3
13,0.08,0.67,1.44,0.026,0.009,12.3,17.11,2.31,0.35,0.013,0.006,0.001,0.0186,0.04,45,46,137,650,1545.4
12,0.07,0.58,1.67,0.027,0.011,10.42,17.3,2.37,0.17,0.047,0.03,0.0007,0.029,0.03,28,31,26,850,1598.8
2,0.05,0.71,1.52,0.022,0.013,13.5,17.5,2.28,0.17,0.055,0.027,0.0013,0.035,0.02,77,77,157,650,1600.8
5,0.066,0.63,1.73,0.029,0.024,13.16,17.07,2.34,0.13,0.055,0.095,0.002,0.028,0.01,5,6,53,750,1620
10,0.07,0.73,1.62,0.029,0.019,11.92,16.97,2.45,0.14,0.009,0.022,0.0013,0.0159,0.04,56,43,26,850,1622.7
1,0.05,0.52,1.51,0.021,0.01,13.21,16.42,2.34,0.14,0.011,0.018,0.0005,0.034,0.01,87,73,88,700,1636.2
9,0.06,0.46,1.49,0.032,0.026,12.48,17.43,2.49,0.15,0.009,0.025,0.0008,0.0189,0.04,68,68,88,700,1684.6
5,0.066,0.63,1.73,0.029,0.024,13.16,17.07,2.34,0.13,0.055,0.095,0.002,0.028,0.01,6,7,53,750,1687.4
18,0.012,0.56,0.81,0.024,0.004,10.67,16.39,2.11,0.27,0.0006,0.011,0.001,0.081,0.001,92,75,167,650,1694
5,0.066,0.63,1.73,0.029,0.024,13.16,17.07,2.34,0.13,0.055,0.095,0.002,0.028,0.01,7,7,53,750,1702.3
0,0.06,0.59,1.69,0.024,0.017,13.32,16.73,2.38,0.07,0.011,0.015,0.001,0.03,0.02,40,57,216,600,1704.9
3,0.058,0.58,1.56,0.027,0.008,13.65,16.86,2.14,0.17,0.028,0.041,0.0009,0.025,0.01,34,52,216,600,1722.7
12,0.07,0.58,1.67,0.027,0.011,10.42,17.3,2.37,0.17,0.047,0.03,0.0007,0.029,0.03,45,36,53,750,1724.7
8,0.06,0.52,1.58,0.025,0.007,13.6,16.6,2.31,0.26,0.029,0.021,0.0007,0.0224,0.01,47,72,216,600,1734
5,0.066,0.63,1.73,0.029,0.024,13.16,17.07,2.34,0.13,0.055,0.095,0.002,0.028,0.01,36,66,235,600,1754.9
0,0.06,0.59,1.69,0.024,0.017,13.32,16.73,2.38,0.07,0.011,0.015,0.001,0.03,0.02,75,68,137,650,1770.6
8,0.06,0.52,1.58,0.025,0.007,13.6,16.6,2.31,0.26,0.029,0.021,0.0007,0.0224,0.01,68,75,137,650,1785
1,0.05,0.52,1.51,0.021,0.01,13.21,16.42,2.34,0.14,0.011,0.018,0.0005,0.034,0.01,83,73,88,700,1796.7
18,0.012,0.56,0.81,0.024,0.004,10.67,16.39,2.11,0.27,0.0006,0.011,0.001,0.081,0.001,38,50,343,550,1826
13,0.08,0.67,1.44,0.026,0.009,12.3,17.11,2.31,0.35,0.013,0.006,0.001,0.0186,0.04,44,42,33,850,1839.2
17,0.012,0.55,0.87,0.025,0.005,11.22,16.79,2.02,0.28,0.001,0.015,0.0002,0.0765,0.007,42,55,255,600,1840.9
9,0.06,0.46,1.49,0.032,0.026,12.48,17.43,2.49,0.15,0.009,0.025,0.0008,0.0189,0.04,38,44,235,600,1930.4
11,0.07,0.81,1.75,0.026,0.01,10.28,16.97,2.44,0.15,0.044,0.04,0.0016,0.0241,0.04,45,54,137,650,1933.1
9,0.06,0.46,1.49,0.032,0.026,12.48,17.43,2.49,0.15,0.009,0.025,0.0008,0.0189,0.04,55,34,26,850,1936.8
6,0.07,0.61,1.65,0.025,0.007,13.6,16.6,2.33,0.26,0.043,0.017,0.0011,0.025,0.01,42,72,216,600,1977.2
16,0.05,0.74,1.74,0.035,0.006,11.19,17.6,2.32,0.28,0.014,0.005,0.0007,0.023,0.03,26,42,157,650,1998.4
5,0.066,0.63,1.73,0.029,0.024,13.16,17.07,2.34,0.13,0.055,0.095,0.002,0.028,0.01,5,1,53,750,2046.7
5,0.066,0.63,1.73,0.029,0.024,13.16,17.07,2.34,0.13,0.055,0.095,0.002,0.028,0.01,8,13,88,700,2091.1
14,0.07,0.61,1.41,0.026,0.007,12.18,16.97,2.25,0.34,0.018,0.006,0.0008,0.0218,0.03,30,26,53,750,2094.6
6,0.07,0.61,1.65,0.025,0.007,13.6,16.6,2.33,0.26,0.043,0.017,0.0011,0.025,0.01,59,79,137,650,2127.1
11,0.07,0.81,1.75,0.026,0.01,10.28,16.97,2.44,0.15,0.044,0.04,0.0016,0.0241,0.04,39,39,26,850,2130.4
11,0.07,0.81,1.75,0.026,0.01,10.28,16.97,2.44,0.15,0.044,0.04,0.0016,0.0241,0.04,52,43,53,750,2137.3
16,0.05,0.74,1.74,0.035,0.006,11.19,17.6,2.32,0.28,0.014,0.005,0.0007,0.023,0.03,42,34,26,850,2138.7
3,0.058,0.58,1.56,0.027,0.008,13.65,16.86,2.14,0.17,0.028,0.041,0.0009,0.025,0.01,33,44,137,650,2141
10,0.07,0.73,1.62,0.029,0.019,11.92,16.97,2.45,0.14,0.009,0.022,0.0013,0.0159,0.04,62,73,137,650,2141.1
2,0.05,0.71,1.52,0.022,0.013,13.5,17.5,2.28,0.17,0.055,0.027,0.0013,0.035,0.02,37,61,216,600,2167.3
0,0.06,0.59,1.69,0.024,0.017,13.32,16.73,2.38,0.07,0.011,0.015,0.001,0.03,0.02,44,45,88,700,2169.7
18,0.012,0.56,0.81,0.024,0.004,10.67,16.39,2.11,0.27,0.0006,0.011,0.001,0.081,0.001,39,51,333,550,2177
5,0.066,0.63,1.73,0.029,0.024,13.16,17.07,2.34,0.13,0.055,0.095,0.002,0.028,0.01,8,12,88,700,2193.6
12,0.07,0.58,1.67,0.027,0.011,10.42,17.3,2.37,0.17,0.047,0.03,0.0007,0.029,0.03,37,43,137,650,2266.8
12,0.07,0.58,1.67,0.027,0.011,10.42,17.3,2.37,0.17,0.047,0.03,0.0007,0.029,0.03,35,33,78,700,2285.6
4,0.078,0.62,1.6,0.021,0.008,13.51,16.9,2.08,0.16,0.037,0.031,0.001,0.028,0.01,39,37,216,600,2309.4
6,0.07,0.61,1.65,0.025,0.007,13.6,16.6,2.33,0.26,0.043,0.017,0.0011,0.025,0.01,70,72,88,700,2357
14,0.07,0.61,1.41,0.026,0.007,12.18,16.97,2.25,0.34,0.018,0.006,0.0008,0.0218,0.03,31,30,26,850,2382
2,0.05,0.71,1.52,0.022,0.013,13.5,17.5,2.28,0.17,0.055,0.027,0.0013,0.035,0.02,69,64,88,700,2406.2
6,0.07,0.61,1.65,0.025,0.007,13.6,16.6,2.33,0.26,0.043,0.017,0.0011,0.025,0.01,62,76,216,600,2444.5
15,0.06,0.74,1.7,0.038,0.011,13.04,17.31,2.56,0.3,0.011,0.005,0.0011,0.0192,0.04,47,56,157,650,2458.7
4,0.078,0.62,1.6,0.021,0.008,13.51,16.9,2.08,0.16,0.037,0.031,0.001,0.028,0.01,34,37,216,600,2482.3
6,0.07,0.61,1.65,0.025,0.007,13.6,16.6,2.33,0.26,0.043,0.017,0.0011,0.025,0.01,52,71,88,700,2495.1
10,0.07,0.73,1.62,0.029,0.019,11.92,16.97,2.45,0.14,0.009,0.022,0.0013,0.0159,0.04,98,63,78,700,2506.9
17,0.012,0.55,0.87,0.025,0.005,11.22,16.79,2.02,0.28,0.001,0.015,0.0002,0.0765,0.007,53,66,167,650,2575.7
14,0.07,0.61,1.41,0.026,0.007,12.18,16.97,2.25,0.34,0.018,0.006,0.0008,0.0218,0.03,35,30,78,700,2590.7
4,0.078,0.62,1.6,0.021,0.008,13.51,16.9,2.08,0.16,0.037,0.031,0.001,0.028,0.01,5,10,69,750,2622
15,0.06,0.74,1.7,0.038,0.011,13.04,17.31,2.56,0.3,0.011,0.005,0.0011,0.0192,0.04,70,73,88,700,2639
13,0.08,0.67,1.44,0.026,0.009,12.3,17.11,2.31,0.35,0.013,0.006,0.001,0.0186,0.04,52,44,53,750,2651.2
9,0.06,0.46,1.49,0.032,0.026,12.48,17.43,2.49,0.15,0.009,0.025,0.0008,0.0189,0.04,55,69,137,650,2661.5
8,0.06,0.52,1.58,0.025,0.007,13.6,16.6,2.31,0.26,0.029,0.021,0.0007,0.0224,0.01,62,51,88,700,2686.6
16,0.05,0.74,1.74,0.035,0.006,11.19,17.6,2.32,0.28,0.014,0.005,0.0007,0.023,0.03,35,34,53,750,2690.6
1,0.05,0.52,1.51,0.021,0.01,13.21,16.42,2.34,0.14,0.011,0.018,0.0005,0.034,0.01,53,66,196,600,2716.3
10,0.07,0.73,1.62,0.029,0.019,11.92,16.97,2.45,0.14,0.009,0.022,0.0013,0.0159,0.04,49,46,53,750,2725.8
15,0.06,0.74,1.7,0.038,0.011,13.04,17.31,2.56,0.3,0.011,0.005,0.0011,0.0192,0.04,73,62,53,750,2734.6
11,0.07,0.81,1.75,0.026,0.01,10.28,16.97,2.44,0.15,0.044,0.04,0.0016,0.0241,0.04,40,37,78,700,2759.4
3,0.058,0.58,1.56,0.027,0.008,13.65,16.86,2.14,0.17,0.028,0.041,0.0009,0.025,0.01,12,19,88,700,2775.4
2,0.05,0.71,1.52,0.022,0.013,13.5,17.5,2.28,0.17,0.055,0.027,0.0013,0.035,0.02,64,73,137,650,2819.6
12,0.07,0.58,1.67,0.027,0.011,10.42,17.3,2.37,0.17,0.047,0.03,0.0007,0.029,0.03,36,29,33,800,2823
13,0.08,0.67,1.44,0.026,0.009,12.3,17.11,2.31,0.35,0.013,0.006,0.001,0.0186,0.04,39,37,78,700,2872.2
13,0.08,0.67,1.44,0.026,0.009,12.3,17.11,2.31,0.35,0.013,0.006,0.001,0.0186,0.04,44,38,26,850,2911.8
7,0.06,0.52,1.6,0.025,0.007,13.3,16.7,2.25,0.24,0.06,0.02,0.0008,0.0318,0.01,53,62,88,700,2944.8
9,0.06,0.46,1.49,0.032,0.026,12.48,17.43,2.49,0.15,0.009,0.025,0.0008,0.0189,0.04,85,59,53,750,2979.4
7,0.06,0.52,1.6,0.025,0.007,13.3,16.7,2.25,0.24,0.06,0.02,0.0008,0.0318,0.01,57,78,137,650,3073.2
11,0.07,0.81,1.75,0.026,0.01,10.28,16.97,2.44,0.15,0.044,0.04,0.0016,0.0241,0.04,49,36,33,800,3109
15,0.06,0.74,1.7,0.038,0.011,13.04,17.31,2.56,0.3,0.011,0.005,0.0011,0.0192,0.04,57,51,33,800,3125.9
19,0.011,0.57,0.84,0.025,0.003,11.14,16.85,2.25,0.27,0.001,0.006,0.0002,0.0751,0.004,46,63,333,550,3216.8
16,0.05,0.74,1.74,0.035,0.006,11.19,17.6,2.32,0.28,0.014,0.005,0.0007,0.023,0.03,29,27,78,700,3283
10,0.07,0.73,1.62,0.029,0.019,11.92,16.97,2.45,0.14,0.009,0.022,0.0013,0.0159,0.04,56,37,33,800,3349.4
7,0.06,0.52,1.6,0.025,0.007,13.3,16.7,2.25,0.24,0.06,0.02,0.0008,0.0318,0.01,47,80,216,600,3417.5
18,0.012,0.56,0.81,0.024,0.004,10.67,16.39,2.11,0.27,0.0006,0.011,0.001,0.081,0.001,56,62,235,600,3438
9,0.06,0.46,1.49,0.032,0.026,12.48,17.43,2.49,0.15,0.009,0.025,0.0008,0.0189,0.04,86,69,78,700,3461
14,0.07,0.61,1.41,0.026,0.007,12.18,16.97,2.25,0.34,0.018,0.006,0.0008,0.0218,0.03,27,25,33,800,3463.8
4,0.078,0.62,1.6,0.021,0.008,13.51,16.9,2.08,0.16,0.037,0.031,0.001,0.028,0.01,17,22,137,650,3568.2
5,0.066,0.63,1.73,0.029,0.024,13.16,17.07,2.34,0.13,0.055,0.095,0.002,0.028,0.01,8,2,37,750,3581.9
16,0.05,0.74,1.74,0.035,0.006,11.19,17.6,2.32,0.28,0.014,0.005,0.0007,0.023,0.03,45,32,41,775,3597.5
5,0.066,0.63,1.73,0.029,0.024,13.16,17.07,2.34,0.13,0.055,0.095,0.002,0.028,0.01,9,3,41,750,3611.6
5,0.066,0.63,1.73,0.029,0.024,13.16,17.07,2.34,0.13,0.055,0.095,0.002,0.028,0.01,21,26,137,650,3760
18,0.012,0.56,0.81,0.024,0.004,10.67,16.39,2.11,0.27,0.0006,0.011,0.001,0.081,0.001,67,66,88,700,3858.3
18,0.012,0.56,0.81,0.024,0.004,10.67,16.39,2.11,0.27,0.0006,0.011,0.001,0.081,0.001,55,66,235,600,3873.8
17,0.012,0.55,0.87,0.025,0.005,11.22,16.79,2.02,0.28,0.001,0.015,0.0002,0.0765,0.007,41,53,333,550,3905.2
15,0.06,0.74,1.7,0.038,0.011,13.04,17.31,2.56,0.3,0.011,0.005,0.0011,0.0192,0.04,69,61,78,700,3957.9
13,0.08,0.67,1.44,0.026,0.009,12.3,17.11,2.31,0.35,0.013,0.006,0.001,0.0186,0.04,37,34,33,800,3975.7
5,0.066,0.63,1.73,0.029,0.024,13.16,17.07,2.34,0.13,0.055,0.095,0.002,0.028,0.01,33,65,216,600,3980.5
16,0.05,0.74,1.74,0.035,0.006,11.19,17.6,2.32,0.28,0.014,0.005,0.0007,0.023,0.03,33,30,33,800,4027.9
17,0.012,0.55,0.87,0.025,0.005,11.22,16.79,2.02,0.28,0.001,0.015,0.0002,0.0765,0.007,94,60,88,700,4030.5
0,0.06,0.59,1.69,0.024,0.017,13.32,16.73,2.38,0.07,0.011,0.015,0.001,0.03,0.02,13,21,53,750,4034.5
14,0.07,0.61,1.41,0.026,0.007,12.18,16.97,2.25,0.34,0.018,0.006,0.0008,0.0218,0.03,17,22,196,600,4174.2
4,0.078,0.62,1.6,0.021,0.008,13.51,16.9,2.08,0.16,0.037,0.031,0.001,0.028,0.01,9,14,88,700,4178.3
9,0.06,0.46,1.49,0.032,0.026,12.48,17.43,2.49,0.15,0.009,0.025,0.0008,0.0189,0.04,51,35,33,800,4220
3,0.058,0.58,1.56,0.027,0.008,13.65,16.86,2.14,0.17,0.028,0.041,0.0009,0.025,0.01,35,53,196,600,4224.5
15,0.06,0.74,1.7,0.038,0.011,13.04,17.31,2.56,0.3,0.011,0.005,0.0011,0.0192,0.04,55,55,20,850,4225.2
18,0.012,0.56,0.81,0.024,0.004,10.67,16.39,2.11,0.27,0.0006,0.011,0.001,0.081,0.001,60,48,53,750,4229
5,0.066,0.63,1.73,0.029,0.024,13.16,17.07,2.34,0.13,0.055,0.095,0.002,0.028,0.01,53,62,216,600,4348.6
12,0.07,0.58,1.67,0.027,0.011,10.42,17.3,2.37,0.17,0.047,0.03,0.0007,0.029,0.03,36,28,69,700,4410.6
13,0.08,0.67,1.44,0.026,0.009,12.3,17.11,2.31,0.35,0.013,0.006,0.001,0.0186,0.04,19,28,196,600,4468.7
2,0.05,0.71,1.52,0.022,0.013,13.5,17.5,2.28,0.17,0.055,0.027,0.0013,0.035,0.02,36,29,53,750,4493.7
1,0.05,0.52,1.51,0.021,0.01,13.21,16.42,2.34,0.14,0.011,0.018,0.0005,0.034,0.01,36,33,51,750,4512.5
17,0.012,0.55,0.87,0.025,0.005,11.22,16.79,2.02,0.28,0.001,0.015,0.0002,0.0765,0.007,88,50,53,750,4544.6
14,0.07,0.61,1.41,0.026,0.007,12.18,16.97,2.25,0.34,0.018,0.006,0.0008,0.0218,0.03,26,26,108,650,4566.6
4,0.078,0.62,1.6,0.021,0.008,13.51,16.9,2.08,0.16,0.037,0.031,0.001,0.028,0.01,36,42,196,600,4569.2
3,0.058,0.58,1.56,0.027,0.008,13.65,16.86,2.14,0.17,0.028,0.041,0.0009,0.025,0.01,6,7,53,750,4569.8
14,0.07,0.61,1.41,0.026,0.007,12.18,16.97,2.25,0.34,0.018,0.006,0.0008,0.0218,0.03,27,23,69,700,4636
5,0.066,0.63,1.73,0.029,0.024,13.16,17.07,2.34,0.13,0.055,0.095,0.002,0.028,0.01,6,7,74,700,4646
0,0.06,0.59,1.69,0.024,0.017,13.32,16.73,2.38,0.07,0.011,0.015,0.001,0.03,0.02,58,62,196,600,4715.3
8,0.06,0.52,1.58,0.025,0.007,13.6,16.6,2.31,0.26,0.029,0.021,0.0007,0.0224,0.01,35,36,53,750,4783.8
6,0.07,0.61,1.65,0.025,0.007,13.6,16.6,2.33,0.26,0.043,0.017,0.0011,0.025,0.01,64,75,196,600,4822
9,0.06,0.46,1.49,0.032,0.026,12.48,17.43,2.49,0.15,0.009,0.025,0.0008,0.0189,0.04,38,28,20,850,4873.7
19,0.011,0.57,0.84,0.025,0.003,11.14,16.85,2.25,0.27,0.001,0.006,0.0002,0.0751,0.004,36,58,333,550,4927.8
12,0.07,0.58,1.67,0.027,0.011,10.42,17.3,2.37,0.17,0.047,0.03,0.0007,0.029,0.03,32,29,20,850,5032.6
10,0.07,0.73,1.62,0.029,0.019,11.92,16.97,2.45,0.14,0.009,0.022,0.0013,0.0159,0.04,31,27,20,850,5105.8
8,0.06,0.52,1.58,0.025,0.007,13.6,16.6,2.31,0.26,0.029,0.021,0.0007,0.0224,0.01,56,75,196,600,5127.6
4,0.078,0.62,1.6,0.021,0.008,13.51,16.9,2.08,0.16,0.037,0.031,0.001,0.028,0.01,5,10,88,700,5174.8
12,0.07,0.58,1.67,0.027,0.011,10.42,17.3,2.37,0.17,0.047,0.03,0.0007,0.029,0.03,29,27,41,750,5383.9
11,0.07,0.81,1.75,0.026,0.01,10.28,16.97,2.44,0.15,0.044,0.04,0.0016,0.0241,0.04,30,39,196,600,5533.2
6,0.07,0.61,1.65,0.025,0.007,13.6,16.6,2.33,0.26,0.043,0.017,0.0011,0.025,0.01,43,48,53,750,5548.4
11,0.07,0.81,1.75,0.026,0.01,10.28,16.97,2.44,0.15,0.044,0.04,0.0016,0.0241,0.04,35,35,69,700,5556.44
11,0.07,0.81,1.75,0.026,0.01,10.28,16.97,2.44,0.15,0.044,0.04,0.0016,0.0241,0.04,39,34,20,850,5619.2
5,0.066,0.63,1.73,0.029,0.024,13.16,17.07,2.34,0.13,0.055,0.095,0.002,0.028,0.01,9,3,29,750,5721.1
7,0.06,0.52,1.6,0.025,0.007,13.3,16.7,2.25,0.24,0.06,0.02,0.0008,0.0318,0.01,44,53,53,750,5736
10,0.07,0.73,1.62,0.029,0.019,11.92,16.97,2.45,0.14,0.009,0.022,0.0013,0.0159,0.04,41,53,196,600,5759
13,0.08,0.67,1.44,0.026,0.009,12.3,17.11,2.31,0.35,0.013,0.006,0.001,0.0186,0.04,34,35,108,650,5856.2
18,0.012,0.56,0.81,0.024,0.004,10.67,16.39,2.11,0.27,0.0006,0.011,0.001,0.081,0.001,80,72,137,650,5954.8
1,0.05,0.52,1.51,0.021,0.01,13.21,16.42,2.34,0.14,0.011,0.018,0.0005,0.034,0.01,50,45,74,700,6016.8
16,0.05,0.74,1.74,0.035,0.006,11.19,17.6,2.32,0.28,0.014,0.005,0.0007,0.023,0.03,23,36,177,625,6098.2
12,0.07,0.58,1.67,0.027,0.011,10.42,17.3,2.37,0.17,0.047,0.03,0.0007,0.029,0.03,36,32,108,650,6194.9
17,0.012,0.55,0.87,0.025,0.005,11.22,16.79,2.02,0.28,0.001,0.015,0.0002,0.0765,0.007,46,58,235,600,6247.3
11,0.07,0.81,1.75,0.026,0.01,10.28,16.97,2.44,0.15,0.044,0.04,0.0016,0.0241,0.04,45,38,108,650,6404.3
13,0.08,0.67,1.44,0.026,0.009,12.3,17.11,2.31,0.35,0.013,0.006,0.001,0.0186,0.04,37,35,69,700,6558
11,0.07,0.81,1.75,0.026,0.01,10.28,16.97,2.44,0.15,0.044,0.04,0.0016,0.0241,0.04,44,33,41,750,6564.4
2,0.05,0.71,1.52,0.022,0.013,13.5,17.5,2.28,0.17,0.055,0.027,0.0013,0.035,0.02,32,29,74,700,6574.1
10,0.07,0.73,1.62,0.029,0.019,11.92,16.97,2.45,0.14,0.009,0.022,0.0013,0.0159,0.04,49,43,69,700,6729.8
12,0.07,0.58,1.67,0.027,0.011,10.42,17.3,2.37,0.17,0.047,0.03,0.0007,0.029,0.03,28,25,26,800,6756
1,0.05,0.52,1.51,0.021,0.01,13.21,16.42,2.34,0.14,0.011,0.018,0.0005,0.034,0.01,53,54,108,650,6790.9
1,0.05,0.52,1.51,0.021,0.01,13.21,16.42,2.34,0.14,0.011,0.018,0.0005,0.034,0.01,47,69,177,600,6914.1
9,0.06,0.46,1.49,0.032,0.026,12.48,17.43,2.49,0.15,0.009,0.025,0.0008,0.0189,0.04,63,52,69,700,7180.1
15,0.06,0.74,1.7,0.038,0.011,13.04,17.31,2.56,0.3,0.011,0.005,0.0011,0.0192,0.04,55,43,26,800,7234.1
12,0.07,0.58,1.67,0.027,0.011,10.42,17.3,2.37,0.17,0.047,0.03,0.0007,0.029,0.03,44,28,61,700,7265.5
10,0.07,0.73,1.62,0.029,0.019,11.92,16.97,2.45,0.14,0.009,0.022,0.0013,0.0159,0.04,62,59,108,650,7297.7
12,0.07,0.58,1.67,0.027,0.011,10.42,17.3,2.37,0.17,0.047,0.03,0.0007,0.029,0.03,19,32,196,600,7326.8
19,0.011,0.57,0.84,0.025,0.003,11.14,16.85,2.25,0.27,0.001,0.006,0.0002,0.0751,0.004,73,83,135,650,7380.1
6,0.07,0.61,1.65,0.025,0.007,13.6,16.6,2.33,0.26,0.043,0.017,0.0011,0.025,0.01,53,52,53,750,7413.3
16,0.05,0.74,1.74,0.035,0.006,11.19,17.6,2.32,0.28,0.014,0.005,0.0007,0.023,0.03,22,22,69,700,7423.3
5,0.066,0.63,1.73,0.029,0.024,13.16,17.07,2.34,0.13,0.055,0.095,0.002,0.028,0.01,4,4,61,700,7545.8
15,0.06,0.74,1.7,0.038,0.011,13.04,17.31,2.56,0.3,0.011,0.005,0.0011,0.0192,0.04,54,55,41,750,7587.7
9,0.06,0.46,1.49,0.032,0.026,12.48,17.43,2.49,0.15,0.009,0.025,0.0008,0.0189,0.04,31,52,196,600,7593
17,0.012,0.55,0.87,0.025,0.005,11.22,16.79,2.02,0.28,0.001,0.015,0.0002,0.0765,0.007,66,66,137,650,7656
4,0.078,0.62,1.6,0.021,0.008,13.51,16.9,2.08,0.16,0.037,0.031,0.001,0.028,0.01,3,4,53,750,7758.1
15,0.06,0.74,1.7,0.038,0.011,13.04,17.31,2.56,0.3,0.011,0.005,0.0011,0.0192,0.04,52,58,69,700,7763
14,0.07,0.61,1.41,0.026,0.007,12.18,16.97,2.25,0.34,0.018,0.006,0.0008,0.0218,0.03,25,21,26,800,7917.4
11,0.07,0.81,1.75,0.026,0.01,10.28,16.97,2.44,0.15,0.044,0.04,0.0016,0.0241,0.04,35,31,26,800,7988
3,0.058,0.58,1.56,0.027,0.008,13.65,16.86,2.14,0.17,0.028,0.041,0.0009,0.025,0.01,4,9,74,700,8050.3
9,0.06,0.46,1.49,0.032,0.026,12.48,17.43,2.49,0.15,0.009,0.025,0.0008,0.0189,0.04,49,33,26,800,8051.1
14,0.07,0.61,1.41,0.026,0.007,12.18,16.97,2.25,0.34,0.018,0.006,0.0008,0.0218,0.03,21,21,61,700,8075.4
13,0.08,0.67,1.44,0.026,0.009,12.3,17.11,2.31,0.35,0.013,0.006,0.001,0.0186,0.04,38,31,41,750,8302.3
2,0.05,0.71,1.52,0.022,0.013,13.5,17.5,2.28,0.17,0.055,0.027,0.0013,0.035,0.02,63,71,196,600,8333.1
0,0.06,0.59,1.69,0.024,0.017,13.32,16.73,2.38,0.07,0.011,0.015,0.001,0.03,0.02,20,25,74,700,8504.6
5,0.066,0.63,1.73,0.029,0.024,13.16,17.07,2.34,0.13,0.055,0.095,0.002,0.028,0.01,42,66,196,600,8519.9
5,0.066,0.63,1.73,0.029,0.024,13.16,17.07,2.34,0.13,0.055,0.095,0.002,0.028,0.01,5,4,53,700,8542.6
10,0.07,0.73,1.62,0.029,0.019,11.92,16.97,2.45,0.14,0.009,0.022,0.0013,0.0159,0.04,31,27,26,800,8599
9,0.06,0.46,1.49,0.032,0.026,12.48,17.43,2.49,0.15,0.009,0.025,0.0008,0.0189,0.04,81,65,108,650,8725.6
11,0.07,0.81,1.75,0.026,0.01,10.28,16.97,2.44,0.15,0.044,0.04,0.0016,0.0241,0.04,47,34,61,700,8745.3
16,0.05,0.74,1.74,0.035,0.006,11.19,17.6,2.32,0.28,0.014,0.005,0.0007,0.023,0.03,23,23,20,850,8823.4
9,0.06,0.46,1.49,0.032,0.026,12.48,17.43,2.49,0.15,0.009,0.025,0.0008,0.0189,0.04,49,40,41,750,8872.8
8,0.06,0.52,1.58,0.025,0.007,13.6,16.6,2.31,0.26,0.029,0.021,0.0007,0.0224,0.01,48,48,74,700,9042.2
