Material,C,Si,Mn,P,S,Ni,Cr,Mo,Cu,Ti,Al,B,N,Nb+Ta,Elongation,Reduction of Area,Stress,Temperature,Stacking Fault Energy,PI_creep_feature,creep_rupture_life
6,0.07,0.61,1.65,0.025,0.007,13.6,16.6,2.33,0.26,0.043,0.017,0.0011,0.025,0.01,90,86,108,750,66.6471,1.7096,62.4
10,0.07,0.73,1.62,0.029,0.019,11.92,16.97,2.45,0.14,0.009,0.022,0.0013,0.0159,0.04,82,79,137,700,64.0064,2.0548,69.3
5,0.066,0.63,1.73,0.029,0.024,13.16,17.07,2.34,0.13,0.055,0.095,0.002,0.028,0.01,66,77,157,700,65.3684,1.9119,71.9
7,0.06,0.52,1.6,0.025,0.007,13.3,16.7,2.25,0.24,0.06,0.02,0.0008,0.0318,0.01,105,83,108,750,65.2279,1.7963,72.2
6,0.07,0.61,1.65,0.025,0.007,13.6,16.6,2.33,0.26,0.043,0.017,0.0011,0.025,0.01,84,78,216,650,66.6471,1.8093,72.4
13,0.08,0.67,1.44,0.026,0.009,12.3,17.11,2.31,0.35,0.013,0.006,0.001,0.0186,0.04,102,82,137,700,63.2041,2.0572,73.9
1,0.05,0.52,1.51,0.021,0.01,13.21,16.42,2.34,0.14,0.011,0.018,0.0005,0.034,0.01,63,63,196,650,66.6025,1.8915,75
2,0.05,0.71,1.52,0.022,0.013,13.5,17.5,2.28,0.17,0.055,0.027,0.0013,0.035,0.02,59,73,216,650,64.2349,1.7676,78.6
5,0.066,0.63,1.73,0.029,0.024,13.16,17.07,2.34,0.13,0.055,0.095,0.002,0.028,0.01,48,60,108,750,65.3684,2.0035,81.4
14,0.07,0.61,1.41,0.026,0.007,12.18,16.97,2.25,0.34,0.018,0.006,0.0008,0.0218,0.03,95,78,137,700,62.3719,2.0572,83.3
4,0.078,0.62,1.6,0.021,0.008,13.51,16.9,2.08,0.16,0.037,0.031,0.001,0.028,0.01,59,55,216,650,62.6117,1.8502,86.1
11,0.07,0.81,1.75,0.026,0.01,10.28,16.97,2.44,0.15,0.044,0.04,0.0016,0.0241,0.04,109,83,137,700,60.2786,2.0572,86.4
4,0.078,0.62,1.6,0.021,0.008,13.51,16.9,2.08,0.16,0.037,0.031,0.001,0.028,0.01,50,58,157,700,62.6117,1.9443,86.9
18,0.012,0.56,0.81,0.024,0.004,10.67,16.39,2.11,0.27,0.0006,0.011,0.001,0.081,0.001,134,89,108,750,58.7002,1.9186,92.9
14,0.07,0.61,1.41,0.026,0.007,12.18,16.97,2.25,0.34,0.018,0.006,0.0008,0.0218,0.03,16,20,265,600,62.3719,2.4991,93.3
17,0.012,0.55,0.87,0.025,0.005,11.22,16.79,2.02,0.28,0.001,0.015,0.0002,0.0765,0.007,39,65,373,550,57.9359,2.0456,96.6
13,0.08,0.67,1.44,0.026,0.009,12.3,17.11,2.31,0.35,0.013,0.006,0.001,0.0186,0.04,16,22,265,600,63.2041,2.4991,97.2
1,0.05,0.52,1.51,0.021,0.01,13.21,16.42,2.34,0.14,0.011,0.018,0.0005,0.034,0.01,85,80,137,700,66.6025,1.9460,99.4
8,0.06,0.52,1.58,0.025,0.007,13.6,16.6,2.31,0.26,0.029,0.021,0.0007,0.0224,0.01,84,83,137,700,66.6248,2.0512,103.3
12,0.07,0.58,1.67,0.027,0.011,10.42,17.3,2.37,0.17,0.047,0.03,0.0007,0.029,0.03,107,83,137,700,60.6679,2.0572,107.2
8,0.06,0.52,1.58,0.025,0.007,13.6,16.6,2.31,0.26,0.029,0.021,0.0007,0.0224,0.01,72,74,196,650,66.6248,2.0813,108.5
5,0.066,0.63,1.73,0.029,0.024,13.16,17.07,2.34,0.13,0.055,0.095,0.002,0.028,0.01,56,80,216,650,65.3684,1.9712,108.8
6,0.07,0.61,1.65,0.025,0.007,13.6,16.6,2.33,0.26,0.043,0.017,0.0011,0.025,0.01,85,84,137,700,66.6471,2.0478,109.9
17,0.012,0.55,0.87,0.025,0.005,11.22,16.79,2.02,0.28,0.001,0.015,0.0002,0.0765,0.007,59,67,294,600,57.9359,1.6718,119
2,0.05,0.71,1.52,0.022,0.013,13.5,17.5,2.28,0.17,0.055,0.027,0.0013,0.035,0.02,79,76,137,700,64.2349,2.2265,123.9
0,0.06,0.59,1.69,0.024,0.017,13.32,16.73,2.38,0.07,0.011,0.015,0.001,0.03,0.02,108,73,137,700,66.7612,2.1043,126.6
6,0.07,0.61,1.65,0.025,0.007,13.6,16.6,2.33,0.26,0.043,0.017,0.0011,0.025,0.01,64,81,196,650,66.6471,2.1603,126.8
10,0.07,0.73,1.62,0.029,0.019,11.92,16.97,2.45,0.14,0.009,0.022,0.0013,0.0159,0.04,129,89,88,750,64.0064,2.1851,126.8
9,0.06,0.46,1.49,0.032,0.026,12.48,17.43,2.49,0.15,0.009,0.025,0.0008,0.0189,0.04,93,81,137,700,66.7895,2.0572,129.1
13,0.08,0.67,1.44,0.026,0.009,12.3,17.11,2.31,0.35,0.013,0.006,0.001,0.0186,0.04,62,69,196,650,63.2041,2.0924,130.5
3,0.058,0.58,1.56,0.027,0.008,13.65,16.86,2.14,0.17,0.028,0.041,0.0009,0.025,0.01,68,70,196,650,63.5551,2.0206,130.6
14,0.07,0.61,1.41,0.026,0.007,12.18,16.97,2.25,0.34,0.018,0.006,0.0008,0.0218,0.03,60,65,196,650,62.3719,2.0924,131.1
13,0.08,0.67,1.44,0.026,0.009,12.3,17.11,2.31,0.35,0.013,0.006,0.001,0.0186,0.04,89,79,88,750,63.2041,2.1851,135.2
18,0.012,0.56,0.81,0.024,0.004,10.67,16.39,2.11,0.27,0.0006,0.011,0.001,0.081,0.001,75,73,216,650,58.7002,2.1418,139.8
10,0.07,0.73,1.62,0.029,0.019,11.92,16.97,2.45,0.14,0.009,0.022,0.0013,0.0159,0.04,59,76,196,650,64.0064,2.0924,139.8
